name,slug,district_code,lat,lng,website,sector
Tata Steel Foundation,tata-steel-foundation,EAS,22.8046,86.2029,https://www.tatasteel.com,Steel and mining CSR
Central Coalfields Limited,central-coalfields-limited,RAN,23.3441,85.3096,https://www.centralcoalfields.in,Coal mining
Heavy Engineering Corporation,heavy-engineering-corporation,RAN,23.4000,85.3200,https://www.hecltd.com,Heavy engineering
Usha Martin Limited,usha-martin,RAN,23.3200,85.3400,https://www.ushamartin.com,Wire ropes and specialty steel
Hindustan Copper Limited,hindustan-copper,SER,22.7000,85.9300,https://www.hindustancopper.com,Copper mining
Bharat Coking Coal Limited,bharat-coking-coal,DHA,23.7957,86.4304,https://www.bcclweb.in,Coking coal
